miRNA	value
hsa-miR-20b-5p	4.73339
hsa-miR-525-5p	0.2958359
hsa-miR-6769b-3p	0.639337
hsa-miR-31-5p	-0.0452414
hsa-miR-4793-5p	0.932104
hsa-miR-4714-5p	0.497747
hsa-miR-450b-3p	0.82934547
hsa-miR-2277-3p	0.385191
hsa-miR-202-5p	0.808846
hsa-miR-5701	0.2152656
hsa-miR-3714	0.3176477
hsa-miR-3920	0.5457722
hsa-miR-208b-5p	0.317881
hsa-miR-6832-3p	0.384767
hsa-miR-219a-2-3p	0.4268796
hsa-miR-519b-3p	0.456049
hsa-miR-92a-2-5p	0.3396524
hsa-miR-6887-3p	-0.011802
hsa-miR-4528	0.618119
hsa-miR-96-5p	0.97902
hsa-miR-98-5p	0.716447
hsa-miR-6502-3p	0.2572981
hsa-miR-605-5p	0.2344037
hsa-miR-1267	1.40043
hsa-miR-656-3p	0.236396
hsa-miR-34b-5p	0.896593
hsa-miR-449b-3p	0.0559115
hsa-miR-190a-3p	0.474019
hsa-miR-6788-3p	-0.036428
hsa-miR-519d-3p	0.704628
hsa-miR-3922-3p	0.3512754
hsa-miR-6857-3p	0.606116
hsa-miR-26a-1-3p	0.5891161
hsa-miR-520c-3p	0.451392
hsa-miR-3927-5p	0.571167
hsa-miR-184	0.542377
hsa-miR-1282	0.3980332
hsa-miR-10b-5p	0.4037026
hsa-miR-26b-5p	2.5322
hsa-miR-6501-5p	0.1793335
hsa-miR-126-5p	0.886447
hsa-let-7a-3p	0.5413509
hsa-miR-450a-5p	0.631126
hsa-miR-4716-3p	1.89505
hsa-miR-545-3p	1.25071
hsa-miR-6764-3p	-0.2970236
hsa-miR-6887-5p	0.906165
hsa-miR-521	0.515426
hsa-miR-4640-3p	0.630853
hsa-miR-4700-3p	0.29104
hsa-miR-4720-5p	0.374166
hsa-miR-4295	0.325856
hsa-miR-1976	0.079921
hsa-miR-6741-3p	0.2302785
hsa-miR-664b-3p	0.10770748
hsa-miR-381-5p	0.388825
hsa-miR-3606-3p	0.889422
hsa-miR-6825-3p	-0.4648979
hsa-miR-93-5p	4.4273
hsa-miR-144-5p	1.157508
hsa-miR-4642	0.2673594
hsa-miR-450b-5p	0.2530099
hsa-miR-548ay-5p	0.82121
hsa-miR-544a	0.301504614
hsa-miR-3134	0.3169532
hsa-miR-4707-5p	1.54956
hsa-miR-518d-3p	0.1877716
hsa-miR-1537-5p	0.49996
hsa-miR-548ae-3p	0.3548144
hsa-miR-6884-5p	0.993871
hsa-miR-3653-5p	0.434237
hsa-miR-1284	0.1516811
hsa-miR-6826-3p	0.1613013
hsa-miR-5690	0.582111
hsa-miR-181a-3p	0.3010935
hsa-miR-3614-3p	0.525991
hsa-miR-551b-3p	0.3402387
hsa-miR-30c-5p	0.2625993
hsa-miR-4286	0.785759
hsa-miR-199a-5p	0.233292
hsa-miR-6851-5p	1.806087
hsa-miR-30b-5p	0.133025
hsa-let-7e-3p	0.0032362
hsa-miR-548ab	0.69109
hsa-miR-609	0.722167
hsa-miR-891b	0.2158921
hsa-miR-1256	0.2244626
hsa-miR-106a-3p	0.685306
hsa-miR-7843-3p	0.1681641
hsa-miR-149-3p	0.7436769
hsa-miR-371a-5p	1.035698
hsa-miR-520h	0.2920661
hsa-miR-1229-3p	0.344809
hsa-miR-4668-3p	0.53434
hsa-miR-6739-3p	0.1964572
hsa-miR-125a-5p	0.0460095
hsa-miR-4259	0.939731
hsa-miR-6876-3p	-0.1019754
hsa-miR-1323	0.0709286
hsa-miR-4645-3p	0.1070403
hsa-miR-5087	0.293024
hsa-miR-3682-3p	0.56941
hsa-miR-518a-3p	0.3716794
hsa-miR-3915	0.3908633
hsa-miR-185-3p	-0.0648571
hsa-miR-302b-3p	0.3921079
hsa-miR-6841-3p	0.3692746
hsa-miR-1303	0.108502
hsa-miR-522-3p	0.1246359
hsa-miR-211-3p	0.320612
hsa-miR-3605-3p	0.1831974
hsa-miR-622	0.5162753
hsa-miR-548x-3p	0.32802993
hsa-miR-4656	0.898214
