miRNA	value
hsa-miR-3606-5p	0.41262
hsa-miR-1224-3p	0.0168703
hsa-miR-133a-3p	0.684939
hsa-miR-15b-3p	0.7947294
hsa-miR-892a	0.7916043
hsa-miR-6845-5p	0.25894129
hsa-miR-3198	-0.116676
hsa-miR-1277-3p	0.606335
hsa-miR-6881-5p	0.1471515
hsa-miR-103a-3p	1.011469
hsa-miR-1-5p	0.855956
hsa-miR-133b	0.540241
hsa-miR-548a-5p	1.165431
hsa-miR-1260a	1.68145
hsa-miR-3692-5p	-0.285516
hsa-miR-132-5p	0.419654
hsa-miR-513c-5p	1.135754
hsa-miR-548c-3p	1.1836076
hsa-miR-145-3p	0.601072
hsa-miR-4323	0.816011
hsa-miR-369-5p	0.709569
hsa-miR-6769a-5p	-0.445813
hsa-miR-4692	0.1697862
hsa-miR-6844	0.700916
hsa-miR-494-5p	0.425061
hsa-miR-6772-5p	0.117722
hsa-miR-380-3p	0.826681
hsa-miR-1294	0.393425
hsa-miR-338-5p	-0.06839096
hsa-miR-299-5p	0.638809
hsa-miR-374b-3p	1.029848
hsa-miR-6509-3p	0.852196
hsa-miR-4782-3p	0.59949
hsa-miR-6892-3p	0.978775
hsa-miR-876-5p	0.6891061
hsa-miR-29a-5p	0.805217
hsa-miR-449c-3p	0.7650204
hsa-miR-6796-3p	0.688124
hsa-miR-154-5p	0.192724
hsa-miR-6839-3p	0.511485
hsa-miR-548aq-5p	0.918651
hsa-miR-20b-5p	1.033541
hsa-miR-525-5p	1.173293
hsa-miR-6769b-3p	0.804403
hsa-miR-31-5p	-0.095566
hsa-miR-4793-5p	-0.2036653
hsa-miR-4714-5p	0.41734042
hsa-miR-450b-3p	0.8108187
hsa-miR-2277-3p	-0.04932
hsa-miR-202-5p	0.72838
hsa-miR-5701	0.4768349
hsa-miR-3714	0.1037251
hsa-miR-3920	0.864575
hsa-miR-208b-5p	0.3255583
hsa-miR-6832-3p	0.758384
hsa-miR-219a-2-3p	-0.25689875
hsa-miR-519b-3p	0.774635
hsa-miR-92a-2-5p	0.6542041
hsa-miR-6887-3p	0.695413
hsa-miR-4528	1.038765
hsa-miR-96-5p	0.807177
hsa-miR-98-5p	0.769468
hsa-miR-6502-3p	1.0971552
hsa-miR-605-5p	0.690435
hsa-miR-1267	1.245004
hsa-miR-656-3p	0.755847
hsa-miR-34b-5p	1.135849
hsa-miR-449b-3p	1.278469
hsa-miR-190a-3p	0.810339
hsa-miR-6788-3p	-0.0271961
hsa-miR-519d-3p	1.068708
hsa-miR-3922-3p	0.538031
hsa-miR-6857-3p	0.929125
hsa-miR-26a-1-3p	0.860443
hsa-miR-520c-3p	1.0259502
hsa-miR-3927-5p	0.818021
hsa-miR-184	0.541207
hsa-miR-1282	0.725674
hsa-miR-10b-5p	1.402202
hsa-miR-26b-5p	1.031603
hsa-miR-6501-5p	0.295045
hsa-miR-126-5p	0.626518
hsa-let-7a-3p	0.8366907
hsa-miR-450a-5p	0.397994
hsa-miR-4716-3p	0.523552
hsa-miR-545-3p	0.614077
